,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,rssi,0.097,0.59,0.573,0.114,0.057,0.68,0.068,0.748,0.732,0.063,0.722,0.041,0.046,0.047,0.653,0.05,0.645,0.611,0.078,0.619,0.729,0.604,0.67,0.656,0.721,0.678
1,1_10,-97.0,-97.25,-95.33333333333333,-93.5,-97.33333333333333,-92.25,-95.8,-97.0,-97.66666666666667,-92.0,-96.0,-86.75,-87.2,-84.0,-95.25,-85.0,-93.0,-95.66666666666667,-89.25,0,0,0,0,0,0,0
2,1_7,-87.4,-99.0,-93.5,-83.25,-98.2,-95.0,-89.2,-97.0,-98.0,-96.5,-97.0,-93.5,-90.2,-87.25,-94.5,-95.2,-93.0,-94.2,-94.6,0,0,0,0,0,0,0
3,1_8,-82.2,-93.33333333333333,-95.33333333333333,-81.75,-99.6,-96.0,-85.5,-97.0,-97.0,-91.0,-97.0,-88.0,-90.8,-78.0,-94.4,-88.75,-96.0,-96.0,-90.0,-95.0,-96.0,0,0,0,0,0
4,1_9,-84.8,-95.75,-98.25,-84.25,-95.0,-95.5,-83.0,-97.0,-97.0,-97.0,-97.0,-87.8,-90.6,-78.0,-93.66666666666667,-84.4,-95.66666666666667,-95.6,-85.75,-95.0,-96.0,-97.0,-96.0,-102.0,0,0
5,2_10,-107.0,-93.66666666666667,-94.66666666666667,-92.6,-94.5,-93.5,-88.0,-97.0,-99.0,-96.0,-98.0,-104.5,-87.0,-75.66666666666667,-96.66666666666667,-82.0,-96.25,-93.25,-88.66666666666667,-102.5,-95.33333333333333,-97.0,-94.0,-102.0,-99.0,-101.0
6,2_7,-92.8,-93.66666666666667,-97.0,-85.2,-100.0,-93.33333333333333,-91.6,-97.0,-99.0,-96.8,-98.0,-96.25,-93.8,-81.0,-95.0,-80.8,-96.75,-93.25,-98.6,-102.5,-95.33333333333333,-97.0,-94.0,-102.0,-99.0,-101.0
7,2_8,-90.0,-93.5,-93.0,-79.8,-97.0,-95.0,-83.75,-97.0,-99.0,-92.0,-98.0,-90.8,-86.8,-81.25,-93.66666666666667,-85.4,-95.33333333333333,-97.0,-88.4,-102.5,-95.33333333333333,-97.0,-100.0,-102.0,-99.0,-101.0
8,2_9,-97.0,-95.0,-95.0,-78.0,-95.4,-95.33333333333333,-84.33333333333333,-96.0,-99.0,-92.25,-98.0,-85.66666666666667,-85.8,-81.0,-97.0,-86.75,-95.0,-94.2,-88.25,-96.0,-105.0,-97.0,-100.0,-102.0,-99.0,-97.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,snr,0.097,0.59,0.573,0.114,0.057,0.68,0.068,0.748,0.732,0.063,0.722,0.041,0.046,0.047,0.653,0.05,0.645,0.611,0.078,0.619,0.729,0.604,0.67,0.656,0.721,0.678
11,1_10,8.5,-15.25,-11.266666666666666,8.55,3.1333333333333333,-11.925,9.02,-16.15,-15.733333333333334,6.2,-17.0,7.725,8.5,9.125,-12.75,7.779999999999999,-10.7,-12.0,7.925,0,0,0,0,0,0,0
12,1_7,11.059999999999999,-10.8,-12.65,10.325,6.840000000000001,-11.65,9.36,-16.15,-10.6,6.95,-10.2,4.875,9.440000000000001,9.05,-10.85,6.08,-10.7,-9.459999999999999,8.040000000000001,0,0,0,0,0,0,0
13,1_8,8.540000000000001,-6.933333333333334,-14.6,9.95,1.8799999999999997,-12.2,7.6,-13.0,-10.8,8.0,-10.2,9.040000000000001,7.8,3.75,-11.02,8.3,-11.766666666666666,-10.1,9.2,-15.0,-16.2,0,0,0,0,0
14,1_9,9.4,-9.25,-11.575,10.0,5.26,-14.75,8.733333333333333,-13.0,-12.0,8.4,-10.2,9.66,8.58,11.15,-12.933333333333332,9.98,-9.6,-9.4,9.975,-15.8,-15.5,-13.5,-17.2,-16.5,0,0
15,2_10,9.2,-9.766666666666667,-9.733333333333333,9.080000000000002,5.55,-10.25,8.1,-13.0,-14.5,6.1,-15.0,6.25,8.925,9.566666666666666,-13.333333333333334,8.5,-11.850000000000001,-11.7,7.566666666666666,-13.4,-16.833333333333332,-9.5,-17.2,-16.5,-18.8,-15.2
16,2_7,8.580000000000002,-9.766666666666667,-9.75,10.0,2.925,-10.333333333333334,7.040000000000001,-13.0,-14.5,6.44,-15.0,9.5,7.659999999999999,9.45,-9.8,8.74,-9.700000000000001,-11.7,5.74,-13.4,-16.833333333333332,-9.5,-17.2,-16.5,-18.8,-15.2
17,2_8,8.125,-10.5,-13.5,8.540000000000001,1.325,-12.5,9.575,-13.0,-14.5,6.34,-15.0,7.1,9.34,9.65,-13.166666666666666,7.960000000000001,-13.266666666666666,-12.5,6.3,-13.4,-16.833333333333332,-9.5,-12.5,-16.5,-18.8,-15.2
18,2_9,5.5,-10.0,-11.666666666666666,8.733333333333333,5.3,-11.466666666666667,10.066666666666666,-14.5,-14.5,4.25,-15.0,8.433333333333334,9.379999999999999,11.080000000000002,-8.5,9.225,-12.9,-10.12,9.4,-13.0,-13.0,-9.5,-12.5,-16.5,-18.8,-15.0
