,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,filename-place,filename-power,filename-spreadfactor,filename-testcount,txInfo-frequency,txInfo-dataRate-modulation,txInfo-dataRate-bandwidth,txInfo-dataRate-spreadFactor,txInfo-dataRate-bitrate,txInfo-codeRate,rxInfo-mac,rxInfo-time,rxInfo-timeSinceGPSEpoch,rxInfo-timestamp,rxInfo-rssi,rxInfo-loRaSNR,rxInfo-board,rxInfo-antenna,,,,,,,,,,,,,,,,
1,10,1,10,1,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:44:40.928013Z,,3343850964,-97,-15,0,0,,,,,,,,,,,,,,,,
2,10,1,10,2,924000000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:44:48.263492Z,,3351181636,-96,-16,0,0,,,,,,,,,,,,,,,,
3,10,1,10,3,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:44:55.617504Z,,3358537148,-100,-17.8,0,0,,,,,,,,,,,,,,,,
4,10,1,10,4,924200000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T07:16:13.207616Z,,1298821100,-97,8.5,0,0,,,,,,,,,,,,,,,,
5,10,1,10,5,923200000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T07:45:10.434627Z,,3373367036,-96,-12.2,0,0,,,,,,,,,,,,,,,,
6,10,1,7,1,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:23.019608Z,,1188657484,-85,12,0,0,,,,,,,,,,,,,,,,
7,10,1,7,2,924200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:26.110695Z,,1191749692,-84,11,0,0,,,,,,,,,,,,,,,,
8,10,1,7,3,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:33.923679Z,,1199568492,-89,9.8,0,0,,,,,,,,,,,,,,,,
9,10,1,7,4,924400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:37.930038Z,,1203569228,-90,10.5,0,0,00800000a0000a1c,2021-10-18T07:43:27.773497Z,,3270721516.0,-99.0,-10.8,0.0,0.0,,,,,,,,
10,10,1,7,5,924000000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:14:41.040646Z,,1206674940,-89,12,0,0,,,,,,,,,,,,,,,,
11,10,1,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:45.350083Z,,1210989724,-82,7.2,0,0,,,,,,,,,,,,,,,,
12,10,1,8,2,924400000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:50.113935Z,,1215742988,-84,8,0,0,00800000a0000a1c,2021-10-18T07:43:39.945377Z,,3282895300.0,-94.0,-12.2,0.0,0.0,,,,,,,,
13,10,1,8,3,923200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:14:54.595309Z,,1220237788,-83,8,0,0,00800000a0000a1c,2021-10-18T07:43:44.439123Z,,3287390116.0,-92.0,-3.8,0.0,0.0,00800000a0000ed1,2021-10-18T07:34:29.536011Z,,2309813516.0,-95.0,-15.0,0.0,0.0
